Year,POP,POPR,EXLIFE,GRMOR,BIRTHR,CHMOR,CALOR,PROT,HSEXFL,GNPXC,ENROL,EDUCR,EAPOPR,TLF,RLFD(1),RLFD(2),RLFD(3),RLFD(4),RLFD(5),CAPT,CAPD(1),CAPD(2),CAPD(3),CAPD(4),CAPD(5),0-5,6-17,11-70,AL,EXCAL,FERT,REND,FALU,URBANR,TURBH,SEPOPR,HOUSER,PERXFL,GNP,GNPD(1),GNPD(2),GNPD(3),GNPD(4),GNPD(5)
1960,257000000.0,2.46,43.82,20.6,46.35,196.0,2268.0,51.21,0.3517,136.9,23.68,7.018,57.17,99460000.0,76.23,0.02584,0.5168,20.9,2.326,123100000000.0,0.18,0.33,0.02,0.42,0.05,20.81,29.63,67.69,192100.0,0.0,1465.0,0.0,0.7375,20.94,0.0,3.497,7.656,4.594,35180000000.0,0.264,0.066,0.023,0.496,0.151
1961,263700000.0,2.62,43.93,20.84,46.31,286.6,2231.0,50.39,0.3459,138.0,23.62,7.075,55.51,99150000.0,75.73,0.02637,0.5274,21.33,2.373,121200000000.0,0.18,0.33,0.02,0.42,0.05,20.64,29.95,67.72,192100.0,0.0,1465.0,0.0,0.7375,21.36,44.89,3.56,7.744,4.468,36410000000.0,0.2576,0.0662,0.02299,0.5057,0.1475
1962,270700000.0,2.623,44.11,20.78,46.11,284.9,2236.0,50.5,0.3505,141.5,24.07,7.284,55.28,101400000.0,75.24,0.0269,0.538,21.76,2.421,119400000000.0,0.18,0.33,0.02,0.42,0.05,20.46,30.26,67.8,192100.0,0.0,1465.0,0.0,0.7375,21.77,46.12,3.623,7.85,4.464,38310000000.0,0.2518,0.06546,0.02309,0.5147,0.1449
1963,277700000.0,2.62,44.33,20.62,45.88,282.3,2240.0,50.57,0.3558,144.9,24.5,7.486,55.02,103800000.0,74.74,0.02743,0.5486,22.19,2.469,117800000000.0,0.18,0.33,0.02,0.42,0.05,20.27,30.55,67.91,192100.0,0.0,1465.0,0.0,0.7375,22.19,47.28,3.685,7.969,4.465,40250000000.0,0.2463,0.06489,0.02318,0.523,0.1427
1964,285000000.0,2.622,44.57,20.4,45.65,278.9,2242.0,50.62,0.362,148.2,24.94,7.678,54.73,106200000.0,74.25,0.02796,0.5593,22.62,2.517,116400000000.0,0.18,0.33,0.02,0.42,0.05,20.11,30.79,68.05,192100.0,0.0,1465.0,0.0,0.7375,22.6,48.55,3.747,8.099,4.469,42240000000.0,0.241,0.06449,0.02324,0.5304,0.1409
1965,292500000.0,2.624,44.83,20.18,45.4,275.3,2242.0,50.63,0.3688,151.4,25.43,7.861,54.42,108600000.0,73.75,0.0285,0.57,23.06,2.565,115200000000.0,0.18,0.33,0.02,0.42,0.05,20.05,30.91,68.22,192100.0,0.0,1465.0,0.0,0.7375,23.02,49.87,3.81,8.243,4.474,44280000000.0,0.2361,0.06426,0.0233,0.537,0.1394
1966,300200000.0,2.627,45.13,19.94,45.11,271.5,2242.0,50.63,0.3763,154.4,26.11,8.036,54.1,111100000.0,73.25,0.02904,0.5807,23.49,2.613,114300000000.0,0.18,0.33,0.02,0.42,0.05,20.21,30.78,68.41,192100.0,0.0,1465.0,0.0,0.7375,23.44,51.23,3.871,8.402,4.479,46360000000.0,0.2313,0.0642,0.02334,0.543,0.1382
1967,308100000.0,2.63,45.41,19.67,44.83,266.9,2241.0,50.62,0.3847,157.4,26.62,8.201,53.79,113700000.0,72.75,0.02958,0.5915,23.93,2.662,113500000000.0,0.18,0.33,0.02,0.42,0.05,20.19,30.81,68.59,192100.0,0.0,1465.0,0.0,0.7375,23.85,52.64,3.933,8.577,4.485,48500000000.0,0.2269,0.06429,0.02337,0.5482,0.1372
1968,316200000.0,2.633,45.69,19.41,44.55,262.7,2241.0,50.59,0.3938,160.3,27.13,8.359,53.5,116300000.0,72.24,0.03012,0.6023,24.36,2.71,113000000000.0,0.18,0.33,0.02,0.42,0.05,20.16,30.81,68.74,192100.0,0.0,1465.0,0.0,0.7375,24.27,54.09,3.994,8.77,4.49,50700000000.0,0.2227,0.06455,0.02339,0.5528,0.1366
1969,324500000.0,2.636,45.97,19.16,44.25,258.6,2240.0,50.57,0.4036,163.2,27.65,8.509,53.27,119000000.0,71.74,0.03066,0.6132,24.8,2.759,112600000000.0,0.18,0.33,0.02,0.42,0.05,20.14,30.78,68.81,192100.0,0.0,1465.0,0.0,0.7375,24.68,55.56,4.056,8.984,4.492,52960000000.0,0.2187,0.06496,0.02339,0.5569,0.1361
