Year,POP,POPR,EXLIFE,GRMOR,BIRTHR,CHMOR,CALOR,PROT,HSEXFL,GNPXC,ENROL,EDUCR,EAPOPR,TLF,RLFD(1),RLFD(2),RLFD(3),RLFD(4),RLFD(5),CAPT,CAPD(1),CAPD(2),CAPD(3),CAPD(4),CAPD(5),0-5,6-17,11-70,AL,EXCAL,FERT,REND,FALU,URBANR,TURBH,SEPOPR,HOUSER,PERXFL,GNP,GNPD(1),GNPD(2),GNPD(3),GNPD(4),GNPD(5)
1960,1544000000.0,2.42,48.24,17.3,43.9,148.0,1985.0,51.14,0.3636,89.72,32.32,8.884,59.63,668500000.0,74.36,0.02309,0.4619,21.92,3.233,498700000000.0,0.2,0.35,0.02,0.37,0.06,17.39,27.49,72.61,432900.0,0.0,8232.0,0.0,0.3095,17.58,0.0,5.596,7.435,4.891,138500000000.0,0.272,0.049,0.022,0.497,0.16
1961,1585000000.0,2.65,46.54,18.13,44.42,221.2,1953.0,50.32,0.3568,90.32,32.68,8.929,58.42,667700000.0,73.32,0.02403,0.4805,22.8,3.364,500300000000.0,0.2,0.35,0.02,0.37,0.06,17.89,27.32,72.12,432900.0,0.0,8232.0,0.0,0.3095,18.0,272.8,5.816,7.528,4.739,143100000000.0,0.2659,0.04928,0.02197,0.5024,0.1605
1962,1625000000.0,2.532,46.78,19.8,44.08,246.1,1962.0,50.55,0.3507,92.62,33.79,9.191,58.76,684500000.0,72.28,0.02496,0.4992,23.69,3.495,502600000000.0,0.2,0.35,0.02,0.37,0.06,18.31,27.2,71.69,432900.0,0.0,8232.0,0.0,0.3095,18.41,267.6,6.037,7.651,4.584,150500000000.0,0.2605,0.04885,0.02205,0.5075,0.1612
1963,1666000000.0,2.507,47.31,19.7,43.63,242.5,1971.0,50.77,0.3567,94.86,34.86,9.446,59.01,700900000.0,71.24,0.0259,0.5179,24.58,3.626,506000000000.0,0.2,0.35,0.02,0.37,0.06,18.7,27.1,71.31,432900.0,0.0,8232.0,0.0,0.3095,18.83,271.6,6.257,7.793,4.577,158000000000.0,0.2554,0.04858,0.02213,0.5122,0.1617
1964,1707000000.0,2.503,47.87,19.28,43.16,234.8,1980.0,51.0,0.3654,97.07,35.91,9.7,59.23,717600000.0,70.19,0.02683,0.5367,25.46,3.757,510500000000.0,0.2,0.35,0.02,0.37,0.06,19.08,27.01,70.95,432900.0,0.0,8232.0,0.0,0.3095,19.24,277.9,6.477,7.951,4.596,165700000000.0,0.2507,0.04844,0.0222,0.5165,0.1621
1965,1750000000.0,2.504,48.45,18.78,42.67,226.6,1990.0,51.26,0.3754,99.28,37.01,9.954,59.43,734600000.0,69.15,0.02777,0.5554,26.35,3.888,516000000000.0,0.2,0.35,0.02,0.37,0.06,19.5,26.9,70.62,432900.0,0.0,8232.0,0.0,0.3095,19.66,285.1,6.697,8.127,4.62,173800000000.0,0.2464,0.04841,0.02228,0.5206,0.1623
1966,1794000000.0,2.508,49.1,18.25,42.14,218.1,2001.0,51.55,0.3865,101.5,38.3,10.21,59.62,752000000.0,68.1,0.02871,0.5742,27.25,4.019,522600000000.0,0.2,0.35,0.02,0.37,0.06,20.05,26.65,70.31,432900.0,0.0,8232.0,0.0,0.3095,20.07,292.7,6.916,8.32,4.645,182100000000.0,0.2424,0.04848,0.02235,0.5244,0.1624
1967,1839000000.0,2.514,49.51,17.66,41.75,208.7,2013.0,51.87,0.3988,103.7,38.75,10.46,59.79,769800000.0,67.05,0.02965,0.593,28.14,4.151,530200000000.0,0.2,0.35,0.02,0.37,0.06,19.99,27.01,70.01,432900.0,0.0,8232.0,0.0,0.3095,20.49,300.7,7.135,8.531,4.674,190700000000.0,0.2387,0.04865,0.02242,0.5278,0.1624
1968,1885000000.0,2.516,49.87,17.25,41.36,202.9,2027.0,52.23,0.4106,105.9,39.17,10.72,59.96,788200000.0,66.0,0.03059,0.6118,29.03,4.283,538900000000.0,0.2,0.35,0.02,0.37,0.06,19.91,27.37,69.71,432900.0,0.0,8232.0,0.0,0.3095,20.9,308.5,7.353,8.761,4.687,199700000000.0,0.2353,0.04891,0.02249,0.5311,0.1622
1969,1933000000.0,2.514,50.23,16.89,40.96,197.8,2043.0,52.63,0.423,108.2,39.6,10.98,60.17,807000000.0,64.95,0.03153,0.6307,29.93,4.415,548700000000.0,0.2,0.35,0.02,0.37,0.06,19.82,27.72,69.38,432900.0,0.0,8232.0,0.0,0.3095,21.32,316.1,7.572,9.01,4.695,209100000000.0,0.2322,0.04925,0.02255,0.534,0.162
1970,1981000000.0,2.512,50.59,16.53,40.55,192.7,2060.0,53.08,0.4362,110.4,40.05,11.24,60.48,826200000.0,63.9,0.03248,0.6495,30.82,4.547,559400000000.0,0.2,0.35,0.02,0.37,0.06,19.74,28.05,68.94,432900.0,0.0,8232.0,0.0,0.3095,21.73,323.7,7.79,9.28,4.7,218800000000.0,0.2293,0.04968,0.0226,0.5368,0.1616
1971,2031000000.0,2.521,51.06,16.04,40.22,182.2,2055.0,52.95,0.4415,112.6,40.83,11.58,60.32,845800000.0,62.84,0.03342,0.6684,31.72,4.679,571300000000.0,0.2,0.35,0.02,0.37,0.06,19.65,28.36,69.03,432900.0,0.0,8232.0,0.0,0.3095,22.15,333.1,8.008,9.351,4.721,228700000000.0,0.2244,0.04911,0.02285,0.5397,0.1639
1972,2083000000.0,2.529,51.51,15.66,39.89,177.1,2052.0,52.87,0.4477,114.8,41.62,11.92,60.14,866000000.0,61.79,0.03437,0.6874,32.62,4.812,584700000000.0,0.2,0.35,0.02,0.37,0.06,19.58,28.65,69.13,432900.0,0.0,8232.0,0.0,0.3095,22.56,342.5,8.225,9.442,4.741,239200000000.0,0.2197,0.04862,0.02307,0.5424,0.1662
1973,2136000000.0,2.533,51.97,15.29,39.54,172.3,2050.0,52.82,0.4546,117.2,42.46,12.27,59.97,886700000.0,60.73,0.03532,0.7063,33.51,4.944,599800000000.0,0.2,0.35,0.02,0.37,0.06,19.51,28.91,69.24,432900.0,0.0,8232.0,0.0,0.3095,22.98,351.8,8.443,9.554,4.758,250400000000.0,0.215,0.04819,0.02326,0.5451,0.1684
1974,2190000000.0,2.535,52.44,14.93,39.17,167.4,2050.0,52.81,0.4623,119.8,43.32,12.63,59.8,908000000.0,59.67,0.03626,0.7253,34.41,5.077,616600000000.0,0.2,0.35,0.02,0.37,0.06,19.45,29.16,69.34,432900.0,0.0,8232.0,0.0,0.3095,23.39,361.0,8.66,9.686,4.773,262200000000.0,0.2104,0.04783,0.02344,0.5477,0.1705
1975,2245000000.0,2.534,52.93,14.56,38.79,162.3,2051.0,52.83,0.4711,122.4,44.19,12.99,59.63,929800000.0,58.61,0.03721,0.7443,35.32,5.21,635200000000.0,0.2,0.35,0.02,0.37,0.06,19.39,29.4,69.45,432900.0,0.0,8232.0,0.0,0.3095,23.81,370.0,8.876,9.84,4.787,274800000000.0,0.206,0.04754,0.02358,0.5503,0.1726
1976,2302000000.0,2.53,53.42,14.19,38.39,157.1,2053.0,52.9,0.4808,125.2,45.06,13.36,59.47,952100000.0,57.55,0.03816,0.7633,36.22,5.343,655700000000.0,0.2,0.35,0.02,0.37,0.06,19.32,29.64,69.55,432900.0,0.0,8232.0,0.0,0.3095,24.22,378.7,9.092,10.02,4.8,288200000000.0,0.2016,0.04731,0.0237,0.5527,0.1747
1977,2360000000.0,2.529,53.89,13.82,37.98,151.9,2057.0,52.99,0.4914,128.1,45.87,13.72,59.31,974900000.0,56.49,0.03912,0.7823,37.12,5.476,678300000000.0,0.2,0.35,0.02,0.37,0.06,19.25,29.92,69.65,432900.0,0.0,8232.0,0.0,0.3095,24.64,388.1,9.308,10.21,4.811,302400000000.0,0.1974,0.04714,0.0238,0.5551,0.1766
1978,2420000000.0,2.534,54.32,13.48,37.59,146.9,2061.0,53.11,0.5028,131.2,46.54,14.1,59.15,998300000.0,55.43,0.04007,0.8014,38.03,5.61,703000000000.0,0.2,0.35,0.02,0.37,0.06,19.17,30.29,69.74,432900.0,0.0,8232.0,0.0,0.3095,25.06,398.7,9.524,10.43,4.818,317500000000.0,0.1932,0.04703,0.02388,0.5574,0.1785
1979,2481000000.0,2.536,54.96,13.17,37.07,142.4,2067.0,53.26,0.5148,134.4,47.88,14.48,59.0,1022000000.0,54.36,0.04103,0.8205,38.93,5.744,730000000000.0,0.2,0.35,0.02,0.37,0.06,19.1,30.23,69.82,432900.0,0.0,8232.0,0.0,0.3095,25.47,409.2,9.74,10.68,4.821,333600000000.0,0.1891,0.04697,0.02393,0.5596,0.1804
1980,2544000000.0,2.532,55.64,12.74,36.53,135.7,2074.0,53.43,0.5289,137.8,49.26,14.86,58.85,1047000000.0,53.29,0.04198,0.8396,39.84,5.877,759300000000.0,0.2,0.35,0.02,0.37,0.06,19.03,30.17,69.91,432900.0,0.0,8232.0,0.0,0.3095,25.89,418.9,9.955,10.95,4.832,350600000000.0,0.185,0.04697,0.02396,0.5618,0.1822
1981,2608000000.0,2.526,56.34,12.28,35.97,128.6,2082.0,53.64,0.5444,141.3,50.67,15.25,58.69,1072000000.0,52.23,0.04294,0.8588,40.75,6.011,791200000000.0,0.2,0.35,0.02,0.37,0.06,18.94,30.1,70.01,432900.0,0.0,8232.0,0.0,0.3095,26.3,428.4,10.17,11.24,4.844,368700000000.0,0.1811,0.04702,0.02398,0.5639,0.184
1982,2674000000.0,2.518,57.04,11.81,35.39,121.3,2091.0,53.86,0.561,145.1,52.09,15.65,58.53,1097000000.0,51.16,0.0439,0.878,41.66,6.146,825700000000.0,0.2,0.35,0.02,0.37,0.06,18.86,30.04,70.12,432900.0,0.0,8232.0,0.0,0.3095,26.72,437.8,10.38,11.56,4.854,387900000000.0,0.1772,0.04711,0.02397,0.566,0.1857
1983,2741000000.0,2.508,57.75,11.35,34.79,114.1,2100.0,54.11,0.5787,148.9,53.54,16.05,58.36,1124000000.0,50.08,0.04486,0.8972,42.57,6.28,863000000000.0,0.2,0.35,0.02,0.37,0.06,18.76,29.97,70.24,432900.0,0.0,8232.0,0.0,0.3095,27.13,447.0,10.6,11.9,4.862,408300000000.0,0.1734,0.04726,0.02394,0.5681,0.1874
1984,2810000000.0,2.493,58.45,10.89,34.18,106.8,2111.0,54.38,0.5975,153.0,54.99,16.46,58.18,1150000000.0,49.01,0.04582,0.9164,43.48,6.415,903400000000.0,0.2,0.35,0.02,0.37,0.06,18.65,29.93,70.37,432900.0,0.0,8232.0,0.0,0.3095,27.55,455.5,10.81,12.28,4.867,429800000000.0,0.1696,0.04745,0.0239,0.57,0.189
1985,2879000000.0,2.475,59.15,10.44,33.56,99.55,2122.0,54.67,0.6176,157.2,56.43,16.87,57.99,1177000000.0,47.94,0.04678,0.9356,44.4,6.549,946800000000.0,0.2,0.35,0.02,0.37,0.06,18.52,29.9,70.52,432900.0,0.0,8232.0,0.0,0.3095,27.96,463.5,11.03,12.68,4.87,452700000000.0,0.1659,0.04769,0.02384,0.572,0.1906
1986,2950000000.0,2.481,59.84,9.74,32.93,82.9,2133.0,54.97,0.6427,161.6,57.87,17.29,57.82,1205000000.0,46.86,0.04775,0.9549,45.31,6.684,993600000000.0,0.2,0.35,0.02,0.37,0.06,18.41,29.87,70.63,432900.0,0.0,8232.0,0.0,0.3095,28.38,476.1,11.24,13.11,4.902,476900000000.0,0.1623,0.04797,0.02376,0.5739,0.1921
1987,3023000000.0,2.447,60.53,9.417,32.27,80.21,2146.0,55.29,0.6632,166.3,59.35,17.71,57.64,1233000000.0,45.79,0.04871,0.9742,46.23,6.819,1044000000000.0,0.2,0.35,0.02,0.37,0.06,18.27,29.85,70.78,432900.0,0.0,8232.0,0.0,0.3095,28.79,481.3,11.45,13.58,4.885,502500000000.0,0.1587,0.04829,0.02367,0.5757,0.1936
1988,3096000000.0,2.411,61.22,9.099,31.6,77.53,2159.0,55.63,0.685,171.1,60.84,18.15,57.42,1262000000.0,44.71,0.04968,0.9935,47.14,6.955,1098000000000.0,0.2,0.35,0.02,0.37,0.06,18.09,29.83,70.97,432900.0,0.0,8232.0,0.0,0.3095,29.21,485.8,11.66,14.08,4.866,529600000000.0,0.1552,0.04865,0.02357,0.5776,0.1951
1989,3169000000.0,2.371,61.91,8.786,30.9,74.85,2173.0,55.98,0.7078,176.1,62.36,18.59,57.17,1290000000.0,43.63,0.05064,1.013,48.06,7.09,1156000000000.0,0.2,0.35,0.02,0.37,0.06,17.87,29.81,71.22,432900.0,0.0,8232.0,0.0,0.3095,29.62,489.4,11.88,14.61,4.844,558200000000.0,0.1517,0.04906,0.02345,0.5794,0.1965
1990,3243000000.0,2.329,62.6,8.481,30.19,72.19,2187.0,56.34,0.7318,181.4,63.9,19.04,56.89,1319000000.0,42.55,0.05161,1.032,48.98,7.226,1218000000000.0,0.2,0.35,0.02,0.37,0.06,17.61,29.79,71.51,432900.0,0.0,8232.0,0.0,0.3095,30.04,492.1,12.09,15.19,4.818,588300000000.0,0.1482,0.04951,0.02331,0.5811,0.1979
1991,3317000000.0,2.284,63.28,8.185,29.45,69.55,2201.0,56.72,0.757,186.9,65.47,19.49,56.58,1348000000.0,41.47,0.05258,1.052,49.9,7.362,1285000000000.0,0.2,0.35,0.02,0.37,0.06,17.32,29.77,71.83,432900.0,0.0,8232.0,0.0,0.3095,30.45,493.7,12.3,15.81,4.789,620000000000.0,0.1448,0.05,0.02317,0.5828,0.1992
1992,3391000000.0,2.235,63.95,7.896,28.69,66.94,2216.0,57.1,0.7832,192.7,67.08,19.95,56.24,1377000000.0,40.38,0.05355,1.071,50.82,7.498,1356000000000.0,0.2,0.35,0.02,0.37,0.06,16.99,29.75,72.2,432900.0,0.0,8232.0,0.0,0.3095,30.87,494.3,12.51,16.47,4.756,653300000000.0,0.1414,0.05054,0.02301,0.5845,0.2005
1993,3465000000.0,2.184,64.63,7.615,27.89,64.35,2231.0,57.48,0.8105,198.7,68.78,20.42,55.88,1406000000.0,39.3,0.05453,1.091,51.75,7.634,1431000000000.0,0.2,0.35,0.02,0.37,0.06,16.66,29.7,72.61,432900.0,0.0,8232.0,0.0,0.3095,31.28,493.7,12.72,17.17,4.72,688300000000.0,0.1381,0.05111,0.02284,0.5862,0.2018
1994,3539000000.0,2.128,65.31,7.337,27.07,61.75,2246.0,57.86,0.8388,204.9,70.57,20.9,55.49,1435000000.0,38.21,0.0555,1.11,52.67,7.77,1512000000000.0,0.2,0.35,0.02,0.37,0.06,16.3,29.62,73.06,432900.0,0.0,8232.0,0.0,0.3095,31.7,491.7,12.93,17.92,4.68,725100000000.0,0.1348,0.05173,0.02267,0.5878,0.203
1995,3612000000.0,2.07,65.99,7.064,26.21,59.15,2261.0,58.24,0.8681,211.4,72.46,21.39,55.07,1463000000.0,37.12,0.05648,1.13,53.6,7.907,1598000000000.0,0.2,0.35,0.02,0.37,0.06,15.94,29.52,73.56,432900.0,0.0,8232.0,0.0,0.3095,32.12,488.3,13.15,18.73,4.635,763600000000.0,0.1315,0.05239,0.02248,0.5895,0.2042
1996,3685000000.0,2.007,66.66,6.797,25.31,56.56,2275.0,58.62,0.8984,218.2,74.49,21.88,54.63,1492000000.0,36.03,0.05745,1.149,54.52,8.044,1690000000000.0,0.2,0.35,0.02,0.37,0.06,15.55,29.38,74.1,432900.0,0.0,8232.0,0.0,0.3095,32.53,483.4,13.36,19.59,4.587,803800000000.0,0.1282,0.05308,0.02228,0.591,0.2054
1997,3756000000.0,1.941,67.32,6.536,24.38,54.0,2290.0,58.99,0.9294,225.2,76.66,22.38,54.18,1519000000.0,34.94,0.05843,1.169,55.45,8.18,1787000000000.0,0.2,0.35,0.02,0.37,0.06,15.15,29.2,74.66,432900.0,0.0,8232.0,0.0,0.3095,32.95,476.7,13.57,20.5,4.534,845900000000.0,0.125,0.05382,0.02208,0.5926,0.2065
1998,3826000000.0,1.869,67.95,6.283,23.41,51.49,2304.0,59.35,0.9611,232.6,78.99,22.89,53.73,1547000000.0,33.85,0.05941,1.188,56.38,8.318,1891000000000.0,0.2,0.35,0.02,0.37,0.06,14.74,28.98,75.24,432900.0,0.0,8232.0,0.0,0.3095,33.36,468.1,13.78,21.47,4.476,889900000000.0,0.1218,0.0546,0.02187,0.5941,0.2076
1999,3895000000.0,1.793,68.54,6.046,22.4,49.08,2317.0,59.7,0.9932,240.2,81.46,23.41,53.26,1574000000.0,32.75,0.06039,1.208,57.31,8.455,2000000000000.0,0.2,0.35,0.02,0.37,0.06,14.3,28.74,75.86,432900.0,0.0,8232.0,0.0,0.3095,33.78,457.3,13.98,22.51,4.412,935600000000.0,0.1186,0.05542,0.02165,0.5957,0.2087
2000,3961000000.0,1.71,69.06,5.829,23.4,46.84,1346.0,34.68,0.965,245.9,83.91,23.88,52.78,1600000000.0,31.73,0.0626,1.227,58.22,8.766,2116000000000.0,0.1982,0.371,0.01934,0.3478,0.06361,13.84,28.46,76.5,492600.0,0.0,29360.0,5.762,0.2141,34.19,444.1,14.17,22.23,4.341,974300000000.0,0.1162,0.06008,0.02157,0.5876,0.2146
