Year,POP,POPR,EXLIFE,GRMOR,BIRTHR,CHMOR,CALOR,PROT,HSEXFL,GNPXC,ENROL,EDUCR,EAPOPR,TLF,RLFD(1),RLFD(2),RLFD(3),RLFD(4),RLFD(5),CAPT,CAPD(1),CAPD(2),CAPD(3),CAPD(4),CAPD(5),0-5,6-17,11-70,AL,EXCAL,FERT,REND,FALU,URBANR,TURBH,SEPOPR,HOUSER,PERXFL,GNP,GNPD(1),GNPD(2),GNPD(3),GNPD(4),GNPD(5)
1960,946600000.0,0.8,69.44,14.0,22.19,26.6,2980.0,98.65,0.6642,1402.0,84.82,18.54,54.05,422200000.0,27.8,0.02242,1.345,55.13,15.7,3201000000000.0,0.06,0.28,0.03,0.44,0.19,10.14,21.85,82.51,642000.0,0.0,50570.0,0.0,0.4126,59.14,0.0,15.6,17.37,3.825,1327000000000.0,0.167,0.088,0.034,0.495,0.216
1962,968300000.0,1.117,69.58,10.92,21.21,43.71,2962.0,98.05,0.7433,1489.0,87.26,18.67,53.63,427200000.0,26.44,0.02285,1.371,56.18,15.99,3538000000000.0,0.06,0.28,0.03,0.44,0.19,10.73,21.39,82.26,642000.0,0.0,50570.0,0.0,0.4126,60.37,71.33,15.9,18.63,3.989,1441000000000.0,0.1563,0.08892,0.03224,0.5093,0.2133
1964,988500000.0,1.016,69.92,10.73,19.96,42.16,2961.0,98.01,0.7764,1596.0,91.39,18.96,53.84,436700000.0,25.07,0.02327,1.396,57.22,16.29,3894000000000.0,0.06,0.28,0.03,0.44,0.19,11.33,20.74,82.05,642000.0,0.0,50570.0,0.0,0.4126,61.6,66.25,16.19,19.97,3.887,1577000000000.0,0.1457,0.08891,0.03054,0.5248,0.21
1966,1007000000.0,0.8949,69.88,10.66,18.68,41.44,2956.0,97.85,0.8064,1716.0,96.66,19.22,54.03,445400000.0,23.7,0.0237,1.422,58.27,16.59,4271000000000.0,0.06,0.28,0.03,0.44,0.19,11.95,19.88,81.87,642000.0,0.0,50570.0,0.0,0.4126,62.83,59.54,16.49,21.38,3.771,1728000000000.0,0.1353,0.08852,0.0288,0.5411,0.2063
1968,1023000000.0,0.7776,70.18,10.65,17.68,41.17,2948.0,97.57,0.8343,1852.0,96.57,19.45,54.22,453200000.0,22.33,0.02412,1.447,59.31,16.88,4669000000000.0,0.06,0.28,0.03,0.44,0.19,11.32,20.14,81.7,642000.0,0.0,50570.0,0.0,0.4126,64.06,52.63,16.79,22.88,3.647,1895000000000.0,0.125,0.08776,0.02701,0.5583,0.202
1970,1038000000.0,0.6823,70.44,10.56,16.66,40.15,2935.0,97.13,0.863,2005.0,96.56,19.65,54.44,460200000.0,20.97,0.02454,1.473,60.35,17.18,5090000000000.0,0.06,0.28,0.03,0.44,0.19,10.69,20.35,81.47,642000.0,0.0,50570.0,0.0,0.4126,65.28,46.88,17.09,24.46,3.528,2081000000000.0,0.1149,0.08663,0.0252,0.5761,0.1971
1972,1050000000.0,0.5731,70.52,10.55,15.95,39.77,2970.0,98.3,0.9106,2139.0,98.0,20.32,53.88,466300000.0,19.6,0.02497,1.498,61.4,17.48,5538000000000.0,0.06,0.28,0.03,0.44,0.19,10.09,20.5,82.42,642000.0,0.0,50570.0,0.0,0.4126,66.51,39.9,17.39,26.67,3.414,2246000000000.0,0.109,0.08859,0.02443,0.5793,0.1986
1974,1062000000.0,0.5409,70.66,10.5,15.68,39.11,2997.0,99.19,0.9899,2282.0,98.0,20.99,53.34,471700000.0,18.24,0.02539,1.524,62.44,17.77,6024000000000.0,0.06,0.28,0.03,0.44,0.19,9.607,20.59,83.3,642000.0,0.0,50570.0,0.0,0.4126,67.74,38.08,17.69,29.11,3.4,2423000000000.0,0.1031,0.09064,0.02365,0.5825,0.2001
1976,1073000000.0,0.5175,70.8,10.42,15.45,38.59,3014.0,99.77,1.078,2434.0,98.0,21.68,52.9,476900000.0,16.87,0.02582,1.549,63.48,18.07,6551000000000.0,0.06,0.28,0.03,0.44,0.19,9.248,20.68,84.03,642000.0,0.0,50570.0,0.0,0.4126,68.97,36.82,17.99,31.78,3.391,2612000000000.0,0.09725,0.09274,0.02289,0.5856,0.2015
1978,1084000000.0,0.5057,70.92,10.3,15.28,38.09,3020.0,99.96,1.174,2597.0,98.0,22.38,52.55,481900000.0,15.51,0.02624,1.574,64.53,18.37,7122000000000.0,0.06,0.28,0.03,0.44,0.19,9.038,20.78,84.61,642000.0,0.0,50570.0,0.0,0.4126,70.2,36.35,18.29,34.69,3.385,2815000000000.0,0.09133,0.0949,0.02215,0.5887,0.2029
