Year,POP,POPR,EXLIFE,GRMOR,BIRTHR,CHMOR,CALOR,PROT,HSEXFL,GNPXC,ENROL,EDUCR,EAPOPR,TLF,RLFD(1),RLFD(2),RLFD(3),RLFD(4),RLFD(5),CAPT,CAPD(1),CAPD(2),CAPD(3),CAPD(4),CAPD(5),0-5,6-17,11-70,AL,EXCAL,FERT,REND,FALU,URBANR,TURBH,SEPOPR,HOUSER,PERXFL,GNP,GNPD(1),GNPD(2),GNPD(3),GNPD(4),GNPD(5)
1960,208400000.0,2.3,55.6,14.7,37.91,115.0,2440.0,60.3,0.3883,371.8,48.2,14.46,47.22,68580000.0,48.33,0.0304,1.216,42.52,7.903,225900000000.0,0.15,0.3,0.02,0.41,0.12,19.21,30.0,69.68,121500.0,0.0,2576.0,0.0,0.835,48.6,0.0,8.531,8.317,4.668,77510000000.0,0.212,0.081,0.029,0.496,0.182
1961,214000000.0,2.652,56.44,12.42,37.67,128.9,2393.0,59.13,0.4078,373.9,48.32,14.51,45.88,68420000.0,47.46,0.0309,1.236,43.23,8.035,228800000000.0,0.15,0.3,0.02,0.41,0.12,19.19,30.02,69.69,121500.0,0.0,2576.0,0.0,0.835,49.42,36.85,8.654,8.448,4.827,80000000000.0,0.2067,0.08183,0.02893,0.504,0.1785
1962,219700000.0,2.681,56.95,11.91,37.31,120.3,2391.0,59.08,0.4174,381.4,49.51,14.86,45.75,70070000.0,46.59,0.03141,1.256,43.94,8.167,231700000000.0,0.15,0.3,0.02,0.41,0.12,19.18,30.02,69.7,121500.0,0.0,2576.0,0.0,0.835,50.23,38.24,8.777,8.597,4.856,83790000000.0,0.2025,0.08163,0.02906,0.5122,0.1746
1963,225600000.0,2.68,57.49,11.57,36.94,115.0,2390.0,59.06,0.4258,389.0,50.72,15.22,45.63,71780000.0,45.72,0.03192,1.277,44.66,8.3,234900000000.0,0.15,0.3,0.02,0.41,0.12,19.17,30.0,69.72,121500.0,0.0,2576.0,0.0,0.835,51.05,39.25,8.9,8.754,4.864,87760000000.0,0.1985,0.08149,0.02917,0.5199,0.171
1964,231600000.0,2.679,58.03,11.19,36.57,109.4,2390.0,59.05,0.4347,396.7,51.9,15.56,45.51,73530000.0,44.85,0.03243,1.297,45.37,8.432,238300000000.0,0.15,0.3,0.02,0.41,0.12,19.17,29.98,69.75,121500.0,0.0,2576.0,0.0,0.835,51.87,40.3,9.022,8.919,4.874,91900000000.0,0.1946,0.08141,0.02925,0.5273,0.1674
1965,237900000.0,2.678,58.57,10.82,36.19,103.9,2390.0,59.06,0.444,404.5,53.1,15.9,45.38,75320000.0,43.97,0.03294,1.318,46.09,8.566,241900000000.0,0.15,0.3,0.02,0.41,0.12,19.18,29.94,69.78,121500.0,0.0,2576.0,0.0,0.835,52.68,41.36,9.144,9.092,4.883,96220000000.0,0.1909,0.08139,0.0293,0.5344,0.1641
1966,244200000.0,2.676,59.14,10.45,35.79,98.34,2392.0,59.1,0.4537,412.5,54.41,16.23,45.24,77150000.0,43.1,0.03346,1.338,46.81,8.699,245700000000.0,0.15,0.3,0.02,0.41,0.12,19.25,29.82,69.83,121500.0,0.0,2576.0,0.0,0.835,53.5,42.44,9.266,9.275,4.892,100700000000.0,0.1873,0.08143,0.02934,0.5411,0.1608
1967,250800000.0,2.703,59.63,9.778,35.43,82.93,2393.0,59.14,0.467,420.4,55.45,16.54,45.12,79030000.0,42.22,0.03397,1.359,47.53,8.833,249700000000.0,0.15,0.3,0.02,0.41,0.12,19.23,29.83,69.83,121500.0,0.0,2576.0,0.0,0.835,54.31,44.01,9.387,9.464,4.935,105500000000.0,0.1839,0.08152,0.02934,0.5476,0.1577
1968,257600000.0,2.69,60.14,9.531,35.05,81.02,2397.0,59.22,0.4763,428.6,56.62,16.86,45.01,80970000.0,41.34,0.03449,1.38,48.25,8.967,254000000000.0,0.15,0.3,0.02,0.41,0.12,19.17,29.78,69.85,121500.0,0.0,2576.0,0.0,0.835,55.13,44.98,9.509,9.664,4.929,110400000000.0,0.1806,0.08165,0.02933,0.5537,0.1547
1969,264500000.0,2.675,60.6,9.277,34.68,79.04,2401.0,59.34,0.4861,436.9,57.61,17.17,44.9,82950000.0,40.45,0.03501,1.4,48.97,9.102,258600000000.0,0.15,0.3,0.02,0.41,0.12,19.1,29.8,69.87,121500.0,0.0,2576.0,0.0,0.835,55.95,45.94,9.629,9.875,4.923,115600000000.0,0.1775,0.08184,0.0293,0.5595,0.1518
1970,271500000.0,2.66,61.05,9.05,34.31,77.25,2408.0,59.49,0.4962,445.5,58.58,17.47,44.81,84970000.0,39.57,0.03552,1.421,49.7,9.236,263300000000.0,0.15,0.3,0.02,0.41,0.12,18.99,29.82,69.85,121500.0,0.0,2576.0,0.0,0.835,56.76,46.89,9.75,10.1,4.914,120900000000.0,0.1746,0.08209,0.02924,0.565,0.1491
1971,278700000.0,2.642,61.38,8.834,34.16,75.53,2391.0,59.08,0.4973,448.9,59.18,17.66,44.63,87020000.0,38.68,0.03604,1.442,50.43,9.372,268400000000.0,0.15,0.3,0.02,0.41,0.12,18.87,29.85,69.97,121500.0,0.0,2576.0,0.0,0.835,57.58,47.83,9.87,10.14,4.904,125100000000.0,0.172,0.0818,0.02934,0.5663,0.1505
1972,286000000.0,2.642,61.66,8.675,34.01,74.25,2375.0,58.68,0.5002,452.8,59.8,17.86,44.43,89110000.0,37.79,0.03657,1.463,51.16,9.507,274000000000.0,0.15,0.3,0.02,0.41,0.12,18.73,29.87,70.11,121500.0,0.0,2576.0,0.0,0.835,58.4,49.08,9.989,10.2,4.904,129500000000.0,0.1694,0.08156,0.02942,0.5677,0.152
1973,293600000.0,2.638,61.95,8.54,33.84,73.18,2360.0,58.31,0.5036,457.2,60.47,18.07,44.23,91240000.0,36.9,0.03709,1.484,51.89,9.643,280100000000.0,0.15,0.3,0.02,0.41,0.12,18.59,29.89,70.26,121500.0,0.0,2576.0,0.0,0.835,59.21,50.31,10.11,10.27,4.902,134200000000.0,0.1667,0.08138,0.02948,0.569,0.1534
1974,301300000.0,2.633,62.26,8.404,33.64,72.06,2346.0,57.96,0.5076,462.0,61.22,18.3,44.03,93420000.0,36.0,0.03761,1.504,52.62,9.779,286900000000.0,0.15,0.3,0.02,0.41,0.12,18.47,29.89,70.42,121500.0,0.0,2576.0,0.0,0.835,60.03,51.53,10.23,10.36,4.898,139200000000.0,0.164,0.08124,0.02953,0.5704,0.1548
1975,309200000.0,2.625,62.6,8.257,33.43,70.84,2333.0,57.64,0.5124,467.3,62.05,18.53,43.83,95650000.0,35.11,0.03814,1.525,53.35,9.915,294300000000.0,0.15,0.3,0.02,0.41,0.12,18.36,29.86,70.58,121500.0,0.0,2576.0,0.0,0.835,60.84,52.74,10.35,10.47,4.894,144500000000.0,0.1613,0.08115,0.02957,0.5718,0.1562
1976,317300000.0,2.616,62.96,8.099,33.19,69.54,2320.0,57.34,0.5179,473.1,62.95,18.77,43.61,97920000.0,34.21,0.03866,1.546,54.09,10.05,302300000000.0,0.15,0.3,0.02,0.41,0.12,18.26,29.82,70.76,121500.0,0.0,2576.0,0.0,0.835,61.66,53.92,10.46,10.59,4.889,150100000000.0,0.1585,0.0811,0.02959,0.5733,0.1576
1977,325600000.0,2.605,63.34,7.936,32.93,68.15,2309.0,57.06,0.5242,479.4,63.89,19.02,43.4,100200000.0,33.31,0.03919,1.568,54.83,10.19,311000000000.0,0.15,0.3,0.02,0.41,0.12,18.16,29.78,70.95,121500.0,0.0,2576.0,0.0,0.835,62.48,55.11,10.58,10.74,4.883,156100000000.0,0.1556,0.0811,0.02959,0.5747,0.159
1978,334000000.0,2.596,63.69,7.77,32.67,66.71,2298.0,56.79,0.5312,486.2,64.78,19.29,43.18,102600000.0,32.41,0.03972,1.589,55.57,10.33,320500000000.0,0.15,0.3,0.02,0.41,0.12,18.06,29.78,71.13,121500.0,0.0,2576.0,0.0,0.835,63.29,56.34,10.7,10.9,4.876,162400000000.0,0.1527,0.08115,0.02958,0.5762,0.1603
1979,342700000.0,2.585,64.11,7.613,32.37,65.34,2288.0,56.54,0.5389,493.6,65.93,19.57,42.98,105000000.0,31.5,0.04025,1.61,56.31,10.46,330700000000.0,0.15,0.3,0.02,0.41,0.12,17.95,29.68,71.3,121500.0,0.0,2576.0,0.0,0.835,64.11,57.57,10.82,11.07,4.867,169100000000.0,0.1497,0.08124,0.02956,0.5778,0.1617
1980,351500000.0,2.572,64.55,7.435,32.05,63.73,2278.0,56.3,0.5474,501.5,67.16,19.86,42.78,107500000.0,30.59,0.04078,1.631,57.05,10.6,341700000000.0,0.15,0.3,0.02,0.41,0.12,17.84,29.57,71.47,121500.0,0.0,2576.0,0.0,0.835,64.93,58.75,10.93,11.27,4.857,176300000000.0,0.1468,0.08138,0.02953,0.5793,0.163
1981,360500000.0,2.557,65.0,7.252,31.7,62.04,2269.0,56.07,0.5567,510.0,68.45,20.16,42.58,109900000.0,29.68,0.04131,1.652,57.79,10.74,353600000000.0,0.15,0.3,0.02,0.41,0.12,17.71,29.45,71.64,121500.0,0.0,2576.0,0.0,0.835,65.74,59.91,11.05,11.49,4.847,183800000000.0,0.1437,0.08156,0.02948,0.5809,0.1643
1982,369600000.0,2.54,65.46,7.07,31.34,60.32,2260.0,55.84,0.5668,519.0,69.81,20.47,42.38,112500000.0,28.77,0.04184,1.674,58.54,10.88,366400000000.0,0.15,0.3,0.02,0.41,0.12,17.58,29.32,71.81,121500.0,0.0,2576.0,0.0,0.835,66.56,61.05,11.17,11.72,4.835,191800000000.0,0.1406,0.08178,0.02941,0.5825,0.1656
1983,378900000.0,2.523,65.92,6.888,30.96,58.57,2251.0,55.62,0.5776,528.7,71.25,20.8,42.17,115100000.0,27.86,0.04238,1.695,59.29,11.02,380100000000.0,0.15,0.3,0.02,0.41,0.12,17.44,29.19,72.0,121500.0,0.0,2576.0,0.0,0.835,67.37,62.16,11.28,11.98,4.821,200400000000.0,0.1375,0.08205,0.02934,0.5842,0.1669
1984,388400000.0,2.502,66.39,6.706,30.56,56.81,2242.0,55.41,0.5892,539.1,72.78,21.14,41.96,117700000.0,26.94,0.04292,1.717,60.04,11.16,394900000000.0,0.15,0.3,0.02,0.41,0.12,17.29,29.05,72.2,121500.0,0.0,2576.0,0.0,0.835,68.19,63.22,11.4,12.26,4.806,209400000000.0,0.1344,0.08236,0.02925,0.5859,0.1682
1985,398000000.0,2.479,66.85,6.525,30.15,55.03,2233.0,55.19,0.6016,550.0,74.38,21.5,41.74,120300000.0,26.02,0.04345,1.738,60.79,11.3,410700000000.0,0.15,0.3,0.02,0.41,0.12,17.13,28.9,72.42,121500.0,0.0,2576.0,0.0,0.835,69.01,64.2,11.51,12.56,4.789,218900000000.0,0.1312,0.08272,0.02914,0.5876,0.1694
