Year,POP,POPR,EXLIFE,GRMOR,BIRTHR,CHMOR,CALOR,PROT,HSEXFL,GNPXC,ENROL,EDUCR,EAPOPR,TLF,RLFD(1),RLFD(2),RLFD(3),RLFD(4),RLFD(5),CAPT,CAPD(1),CAPD(2),CAPD(3),CAPD(4),CAPD(5),0-5,6-17,11-70,AL,EXCAL,FERT,REND,FALU,URBANR,TURBH,SEPOPR,HOUSER,PERXFL,GNP,GNPD(1),GNPD(2),GNPD(3),GNPD(4),GNPD(5)
1960,208400000.0,2.3,55.6,14.7,37.91,115.0,2440.0,60.3,0.3883,371.8,48.2,14.46,47.22,68580000.0,48.33,0.0304,1.216,42.52,7.903,225900000000.0,0.15,0.3,0.02,0.41,0.12,19.21,30.0,69.68,121500.0,0.0,2576.0,0.0,0.835,48.6,0.0,8.531,8.317,4.668,77510000000.0,0.212,0.081,0.029,0.496,0.182
1962,219700000.0,2.681,56.95,11.91,37.31,120.3,2391.0,59.08,0.4174,381.4,49.51,14.86,45.75,70070000.0,46.59,0.03141,1.256,43.94,8.167,231700000000.0,0.15,0.3,0.02,0.41,0.12,19.18,30.02,69.7,121500.0,0.0,2576.0,0.0,0.835,50.23,38.24,8.777,8.597,4.856,83790000000.0,0.2025,0.08163,0.02906,0.5122,0.1746
1964,231600000.0,2.679,58.03,11.19,36.57,109.4,2390.0,59.05,0.4347,396.7,51.9,15.56,45.51,73530000.0,44.85,0.03243,1.297,45.37,8.432,238300000000.0,0.15,0.3,0.02,0.41,0.12,19.17,29.98,69.75,121500.0,0.0,2576.0,0.0,0.835,51.87,40.3,9.022,8.919,4.874,91900000000.0,0.1946,0.08141,0.02925,0.5273,0.1674
1966,244200000.0,2.676,59.14,10.45,35.79,98.34,2392.0,59.1,0.4537,412.5,54.41,16.23,45.24,77150000.0,43.1,0.03346,1.338,46.81,8.699,245700000000.0,0.15,0.3,0.02,0.41,0.12,19.25,29.82,69.83,121500.0,0.0,2576.0,0.0,0.835,53.5,42.44,9.266,9.275,4.892,100700000000.0,0.1873,0.08143,0.02934,0.5411,0.1608
1968,257600000.0,2.69,60.14,9.531,35.05,81.02,2397.0,59.22,0.4763,428.6,56.62,16.86,45.01,80970000.0,41.34,0.03449,1.38,48.25,8.967,254000000000.0,0.15,0.3,0.02,0.41,0.12,19.17,29.78,69.85,121500.0,0.0,2576.0,0.0,0.835,55.13,44.98,9.509,9.664,4.929,110400000000.0,0.1806,0.08165,0.02933,0.5537,0.1547
1970,271500000.0,2.66,61.05,9.05,34.31,77.25,2408.0,59.49,0.4962,445.5,58.58,17.47,44.81,84970000.0,39.57,0.03552,1.421,49.7,9.236,263300000000.0,0.15,0.3,0.02,0.41,0.12,18.99,29.82,69.85,121500.0,0.0,2576.0,0.0,0.835,56.76,46.89,9.75,10.1,4.914,120900000000.0,0.1746,0.08209,0.02924,0.565,0.1491
1972,286000000.0,2.642,61.66,8.675,34.01,74.25,2375.0,58.68,0.5002,452.8,59.8,17.86,44.43,89110000.0,37.79,0.03657,1.463,51.16,9.507,274000000000.0,0.15,0.3,0.02,0.41,0.12,18.73,29.87,70.11,121500.0,0.0,2576.0,0.0,0.835,58.4,49.08,9.989,10.2,4.904,129500000000.0,0.1694,0.08156,0.02942,0.5677,0.152
1974,301300000.0,2.633,62.26,8.404,33.64,72.06,2346.0,57.96,0.5076,462.0,61.22,18.3,44.03,93420000.0,36.0,0.03761,1.504,52.62,9.779,286900000000.0,0.15,0.3,0.02,0.41,0.12,18.47,29.89,70.42,121500.0,0.0,2576.0,0.0,0.835,60.03,51.53,10.23,10.36,4.898,139200000000.0,0.164,0.08124,0.02953,0.5704,0.1548
1976,317300000.0,2.616,62.96,8.099,33.19,69.54,2320.0,57.34,0.5179,473.1,62.95,18.77,43.61,97920000.0,34.21,0.03866,1.546,54.09,10.05,302300000000.0,0.15,0.3,0.02,0.41,0.12,18.26,29.82,70.76,121500.0,0.0,2576.0,0.0,0.835,61.66,53.92,10.46,10.59,4.889,150100000000.0,0.1585,0.0811,0.02959,0.5733,0.1576
1978,334000000.0,2.596,63.69,7.77,32.67,66.71,2298.0,56.79,0.5312,486.2,64.78,19.29,43.18,102600000.0,32.41,0.03972,1.589,55.57,10.33,320500000000.0,0.15,0.3,0.02,0.41,0.12,18.06,29.78,71.13,121500.0,0.0,2576.0,0.0,0.835,63.29,56.34,10.7,10.9,4.876,162400000000.0,0.1527,0.08115,0.02958,0.5762,0.1603
1980,351500000.0,2.572,64.92,7.435,31.07,63.73,2475.0,61.16,0.5741,502.9,68.65,20.3,42.78,107500000.0,31.21,0.04159,1.664,55.91,11.18,341700000000.0,0.1436,0.2997,0.02054,0.409,0.1272,17.84,29.57,71.47,121500.0,0.0,8423.0,6.128,0.835,64.93,58.75,10.94,11.82,4.857,176800000000.0,0.1451,0.08119,0.03009,0.5724,0.1712
1982,368800000.0,2.394,66.79,6.674,28.6,56.94,2648.0,67.66,0.6496,527.1,74.89,22.01,42.53,112900000.0,32.47,0.04327,1.731,53.69,12.06,371200000000.0,0.1309,0.299,0.02267,0.4045,0.1429,17.36,29.39,72.01,121500.0,0.0,10670.0,6.781,0.835,73.66,57.48,10.92,13.74,4.729,194400000000.0,0.1409,0.08166,0.03114,0.5575,0.1889
1984,385400000.0,2.156,68.3,6.003,25.0,50.83,3000.0,79.16,0.735,556.8,80.78,23.65,42.12,118300000.0,33.74,0.04502,1.801,51.77,12.63,411500000000.0,0.1331,0.2977,0.02371,0.3857,0.1598,16.52,29.28,72.89,121500.0,0.0,15220.0,7.959,0.8349,85.21,54.23,10.85,16.38,4.487,214600000000.0,0.1439,0.08322,0.03168,0.5354,0.2058
1986,400500000.0,1.888,69.4,5.412,22.27,45.2,3000.0,81.68,0.8306,592.5,87.28,25.58,41.48,123300000.0,35.11,0.0449,1.834,49.96,13.05,463400000000.0,0.1495,0.2966,0.02584,0.3633,0.1648,15.21,29.31,74.21,121500.0,90.09,22630.0,9.552,0.8349,83.06,49.49,10.74,19.9,4.173,237300000000.0,0.1541,0.08565,0.03219,0.5135,0.2145
1988,414100000.0,1.599,69.64,5.182,18.97,42.71,3000.0,84.2,0.9532,639.1,95.79,28.0,40.66,127800000.0,36.48,0.04665,1.906,47.98,13.58,525400000000.0,0.1497,0.2959,0.02776,0.3522,0.1745,13.72,29.24,75.91,123500.0,247.4,25470.0,10.0,0.8321,95.32,43.44,10.64,24.51,3.889,264600000000.0,0.1555,0.08831,0.03268,0.4978,0.2257
1990,425700000.0,1.372,69.65,5.261,18.53,42.71,3000.0,86.72,1.059,694.1,98.0,29.32,39.67,131700000.0,37.49,0.04663,1.875,47.07,13.53,602400000000.0,0.1682,0.2866,0.02863,0.3445,0.1721,12.18,28.94,77.99,129100.0,428.3,26610.0,10.0,0.8246,100.0,38.42,10.5,29.32,3.612,295500000000.0,0.1641,0.08912,0.0315,0.4907,0.2246
1992,437400000.0,1.354,69.62,5.412,18.53,42.71,3000.0,89.23,1.274,747.6,98.0,29.4,38.75,135300000.0,37.71,0.04663,1.875,47.22,13.15,683500000000.0,0.1846,0.2866,0.02863,0.3445,0.1557,11.16,28.09,79.85,134400.0,638.0,27710.0,10.0,0.8173,100.0,38.96,10.4,35.74,3.564,327000000000.0,0.1699,0.09256,0.0305,0.4953,0.2118
1994,449200000.0,1.335,69.66,5.587,18.53,42.76,3000.0,91.75,1.5,814.0,98.0,29.88,38.05,139000000.0,36.21,0.0457,1.871,49.11,12.75,766200000000.0,0.1631,0.2878,0.03035,0.3742,0.1445,10.63,26.74,81.33,134800.0,849.6,27780.0,10.0,0.8168,100.0,39.45,10.53,42.24,3.551,365700000000.0,0.1532,0.09432,0.02963,0.5242,0.1987
1996,461100000.0,1.317,69.75,5.736,18.51,42.44,3000.0,94.27,1.5,893.9,98.0,30.1,37.61,142700000.0,34.78,0.04723,1.797,51.1,12.28,853300000000.0,0.1441,0.2582,0.0341,0.4205,0.1431,10.58,24.92,82.3,135000.0,1054.0,27830.0,10.0,0.8165,100.0,39.95,10.64,42.38,3.539,412200000000.0,0.1366,0.08562,0.02828,0.5597,0.1898
1998,473200000.0,1.296,69.83,5.897,18.5,42.13,3000.0,96.78,1.5,974.7,98.0,30.3,37.39,146500000.0,33.4,0.04894,1.729,52.95,11.87,944500000000.0,0.1274,0.2336,0.03827,0.4709,0.1299,10.57,23.06,82.8,135100.0,1252.0,27850.0,10.0,0.8164,100.0,40.36,10.76,42.53,3.527,461300000000.0,0.1223,0.0785,0.02716,0.5975,0.1746
2000,485400000.0,1.272,69.9,6.07,18.48,41.84,3000.0,99.3,1.5,1052.0,98.0,30.46,37.38,150300000.0,32.14,0.04989,1.668,54.57,11.57,1036000000000.0,0.1126,0.2142,0.043,0.5132,0.117,10.56,21.42,82.85,135100.0,1442.0,27850.0,10.0,0.8164,100.0,40.65,10.88,42.69,3.514,510500000000.0,0.1104,0.07297,0.02633,0.6289,0.1614
2002,497600000.0,1.243,69.97,6.256,18.46,41.57,3000.0,99.3,1.5,1123.0,98.0,30.86,37.38,154100000.0,31.08,0.05186,1.635,55.97,11.27,1123000000000.0,0.09949,0.1989,0.04829,0.5495,0.1038,10.53,20.12,82.87,135100.0,1610.0,27850.0,10.0,0.8164,100.0,40.73,10.97,42.86,3.5,558900000000.0,0.1004,0.06875,0.02598,0.656,0.1488
2004,509800000.0,1.206,70.03,6.459,18.43,41.34,3000.0,99.3,1.5,1191.0,98.0,30.02,37.37,158000000.0,30.35,0.0538,1.574,57.08,10.94,1207000000000.0,0.08791,0.1871,0.0501,0.5784,0.0965,10.49,19.29,82.91,135100.0,1753.0,27850.0,10.0,0.8164,100.0,40.51,11.02,43.06,3.483,607200000000.0,0.09222,0.06549,0.0248,0.6767,0.1408
2006,521800000.0,1.166,70.08,6.686,18.4,41.18,3000.0,99.3,1.5,1253.0,98.0,30.09,37.36,161800000.0,29.56,0.05555,1.528,58.33,10.53,1289000000000.0,0.07783,0.1777,0.05629,0.6013,0.08688,10.43,18.87,82.97,135100.0,1872.0,27850.0,10.0,0.8163,100.0,40.09,11.06,43.28,3.466,653900000000.0,0.08506,0.06312,0.02458,0.6962,0.1311
2008,533800000.0,1.126,70.12,6.929,18.38,41.0,3000.0,99.3,1.5,1309.0,98.0,30.19,37.34,165500000.0,28.92,0.05779,1.491,59.37,10.16,1367000000000.0,0.06989,0.1706,0.06325,0.6193,0.07699,10.35,18.87,83.05,135100.0,1970.0,27850.0,10.0,0.8163,100.0,39.63,11.08,43.52,3.447,698800000000.0,0.07948,0.06149,0.02456,0.7128,0.1216
2010,545600000.0,1.09,70.13,7.194,18.38,40.86,3000.0,99.3,1.5,1363.0,98.0,30.39,37.31,169200000.0,28.62,0.06006,1.465,59.96,9.896,1442000000000.0,0.06184,0.1651,0.07106,0.6236,0.07841,10.28,18.88,83.14,135100.0,2048.0,27850.0,10.0,0.8163,100.0,39.21,11.07,43.78,3.426,743400000000.0,0.0744,0.06037,0.02472,0.7186,0.1219
